INT	INT	INT	INT	INT	[INT]	[INT]	[INT]	[INT]	[INT]	[INT]	[INT]	[INT]	[INT]	[INT]	[INT]
#ID	章节序号文本	章节名称.txt中的A列）	章节包装	背景图资源	声音列表	章节奖励1	章节奖励1数量	章节奖励1绑定	章节奖励2	章节奖励2数量	章节奖励2绑定	章节奖励3	章节奖励3数量	章节奖励3绑定	声音延迟
#ID	ChapterOrder	Name	Desc	Picture	Sound	ChapterAward	ChapterAward	ChapterAward	ChapterAward	ChapterAward	ChapterAward	ChapterAward	ChapterAward	ChapterAward	SoundDelay
10001	5400444	60007002	540011	60007001	1|3|2	30008002	1	1	30008003	1	1	30900015	1	1	
10002		60007002	540012	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
10003	1111	60007002	540013	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
10004	540044	60007002	540014	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
10005	540045	60007002	540015	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
20001	540041	60007002	540011	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
20002	540042	60007002	540012	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
20003	540043	60007002	540013	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
20004	540044	60007002	540014	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
20005	540045	60007002	540015	60007001		30008002	1	1	30008003	1	1	30900015	1	1	1|3|5
20006	540046	60007002	540016	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30001	540041	60007002	540011	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30002	540042	60007002	540012	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30003	540043	60007002	540013	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30004	540044	60007002	540014	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30005	540045	60007002	540015	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30006	540046	60007002	540016	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
30007	540047	60007002	540017	60007001		30008002	1	1	30008003	1	1	30900015	1	1	
