INT	STRING	[INT]	[INT]	INT	INT	INT	INT
#势力ID	$描述	名字	名字	图标	主界面目标图标	简介	鼠标tips简介
#ID	desc	Name	Name	Icon	TargetIcon	DesInt	TipsDesInt
#1-1000是门派							
0	新手	204001		0	0	206001	208001
1	少林	204002		0	0	206002	208002
2	丐帮	204003		0	0	206003	208003
3	明教	204004		0	0	206004	208004
4	武当	204005		0	0	206005	208005
5	峨眉	204006		0	0	206006	208006
6	星宿	204007		0	0	206007	208007
7	大理	204008		0	0	206008	208008
8	天山	204009		0	0	206009	208009
9	逍遥	204010		0	0	206010	208010
10	曼陀山庄	204011		0	0	206011	208011
#1001-2000是江湖势力（势力ID+1000，用于区分门派）							
1010	大宋朝廷	204012		0	0	206012	208012
1011	大宋端王府	204013		0	0	206013	208013
1012	大宋民间	204014		0	0	206014	208014
1013	大辽朝廷	204015		0	0	206015	208015
1014	大辽民间	204016		0	0	206016	208016
1015	大理	204017		0	60500101	206017	208017
1016	西夏	204018		0	0	206018	208018
1017	番邦	204019		0	0	206019	208019
1018	莽盖	204020		0	0	206020	208020
1019	遗民	204021		0	0	206021	208021
1020	流放者	204022		0	0	206022	208022
1021	白苗	204023		0	0	206023	208023
1022	黑苗	204024		0	0	206024	208024
1023	修罗	204025		0	0	206025	208025
1024	山越女祭司	204026		0	0	206026	208026
1025	山越男祭司	204027		0	0	206027	208027
1026	鳄鱼帮	204028		0	0	206028	208028
1027	野兽	204029		0	0	206029	208029
1028	绿林	204030		0	60500106	206030	208030
1029	妖魔	204031		0	0	206031	208031
1030	箱子	204032		0	0	206032	208032
1031	竞技场宝箱	204033		0	0	206033	208033
1033	大辽	204034		0	0	206034	208034
1034	大宋	204035		0	0	206035	208035
1035	大宋	204036		0	0	206036	208036
